Original_2theta,Original_intensity,NVT-Langevin_2theta,NVT-Langevin_intensity,NVT-Berendsen_2theta,NVT-Berendsen_intensity,NPT-Berendsen_2theta,NPT-Berendsen_intensity
10.0,0.0,10.0,1.6413661377524883e-44,10.0,3.698887968311244e-44,10.0,1.1643272483409488e-40
10.08008008008008,0.0,10.08008008008008,6.22011539116078e-43,10.08008008008008,1.4017292944386088e-42,10.08008008008008,3.7199866406911175e-39
10.16016016016016,0.0,10.16016016016016,2.195059977115007e-41,10.16016016016016,4.946660438718402e-41,10.16016016016016,1.1067835024654964e-37
10.24024024024024,0.0,10.24024024024024,7.213554524065762e-40,10.24024024024024,1.625605002084401e-39,10.24024024024024,3.066471632864353e-36
10.32032032032032,0.0,10.32032032032032,2.2075330994103412e-38,10.32032032032032,4.974769147022001e-38,10.32032032032032,7.911707152980285e-35
10.4004004004004,0.0,10.4004004004004,6.29100611090997e-37,10.4004004004004,1.4177048177733507e-36,10.4004004004004,1.9008875827316273e-33
10.48048048048048,0.0,10.48048048048048,1.6695059369539282e-35,10.48048048048048,3.7623021952182425e-35,10.48048048048048,4.2530221197120037e-32
10.56056056056056,0.0,10.56056056056056,4.125825030270465e-34,10.56056056056056,9.297721095136967e-34,10.56056056056056,8.861226282121767e-31
10.64064064064064,0.0,10.64064064064064,9.494861245967771e-33,10.64064064064064,2.139707114439747e-32,10.64064064064064,1.7192735827894747e-29
10.72072072072072,0.0,10.72072072072072,2.034798536000843e-31,10.72072072072072,4.585504507273939e-31,10.72072072072072,3.106355321174102e-28
10.8008008008008,0.0,10.8008008008008,4.060777445149845e-30,10.8008008008008,9.151133612651298e-30,10.8008008008008,5.226515585607497e-27
10.88088088088088,0.0,10.88088088088088,7.54661053753338e-29,10.88088088088088,1.7006605824728183e-28,10.88088088088088,8.18895239176897e-26
10.96096096096096,0.0,10.96096096096096,1.3060195105209391e-27,10.96096096096096,2.943170169490916e-27,10.96096096096096,1.1948115727145814e-24
11.04104104104104,0.0,11.04104104104104,2.1047589737160896e-26,11.04104104104104,4.743163310736921e-26,11.04104104104104,1.6233997411247233e-23
11.12112112112112,0.0,11.12112112112112,3.158712161574087e-25,11.12112112112112,7.118291367825606e-25,11.12112112112112,2.054028674221478e-22
11.2012012012012,0.0,11.2012012012012,4.414410467596379e-24,11.2012012012012,9.948060576013734e-24,11.2012012012012,2.4201512551845117e-21
11.28128128128128,0.0,11.28128128128128,5.745004207966154e-23,11.28128128128128,1.2946609811166895e-22,11.28128128128128,2.6554216673286832e-20
11.36136136136136,0.0,11.36136136136136,6.9624640707620245e-22,11.36136136136136,1.5690207071290567e-21,11.36136136136136,2.7131853133250165e-19
11.441441441441441,0.0,11.441441441441441,7.857611650329327e-21,11.441441441441441,1.7707459977737283e-20,11.441441441441441,2.5815491511974457e-18
11.521521521521521,0.0,11.521521521521521,8.257966792230082e-20,11.521521521521521,1.8609677212129597e-19,11.521521521521521,2.287369450903512e-17
11.601601601601601,0.0,11.601601601601601,8.081848057804498e-19,11.601601601601601,1.8212786199955426e-18,11.601601601601601,1.8873272596777161e-16
11.681681681681681,0.0,11.681681681681681,7.365516523902333e-18,11.681681681681681,1.6598502810570544e-17,11.681681681681681,1.4501505330721474e-15
11.761761761761761,0.0,11.761761761761761,6.251017472016748e-17,11.761761761761761,1.4086932089757048e-16,11.761761761761761,1.0376094972362976e-14
11.841841841841841,0.0,11.841841841841841,4.940298553978653e-16,11.841841841841841,1.1133171606792747e-15,11.841841841841841,6.913687851732768e-14
11.921921921921921,0.0,11.921921921921921,3.635889327354699e-15,11.921921921921921,8.193630280126796e-15,11.921921921921921,4.289834865909447e-13
12.002002002002001,0.0,12.002002002002001,2.4918568695691594e-14,12.002002002002001,5.615504780806552e-14,12.002002002002001,2.4787136563398254e-12
12.082082082082081,0.0,12.082082082082081,1.5903419274677633e-13,12.082082082082081,3.583902753755043e-13,12.082082082082081,1.3337275495962627e-11
12.162162162162161,0.0,12.162162162162161,9.451764715032927e-13,12.162162162162161,2.129995129034156e-12,12.162162162162161,6.682867682990117e-11
12.242242242242241,0.0,12.242242242242241,5.231066887329241e-12,12.242242242242241,1.1788430336127267e-11,12.242242242242241,3.1182690234394886e-10
12.322322322322321,0.0,12.322322322322321,2.696016973119767e-11,12.322322322322321,6.0755882035501e-11,12.322322322322321,1.3549375424355205e-09
12.402402402402402,0.0,12.402402402402402,1.2939275164712314e-10,12.402402402402402,2.9159203497982795e-10,12.402402402402402,5.482516531412897e-09
12.482482482482482,0.0,12.482482482482482,5.782987491411829e-10,12.482482482482482,1.30322067458804e-09,12.482482482482482,2.0658348576947887e-08
12.562562562562562,0.0,12.562562562562562,2.4068528265520864e-09,12.562562562562562,5.423944576936259e-09,12.562562562562562,7.248801883290274e-08
12.642642642642642,0.0,12.642642642642642,9.328284753204276e-09,12.642642642642642,2.1021683977138088e-08,12.642642642642642,2.3686006112512577e-07
12.722722722722722,0.0,12.722722722722722,3.366735763472701e-08,12.722722722722722,7.587081347397842e-08,12.722722722722722,7.207297043394539e-07
12.802802802802802,0.0,12.802802802802802,1.1315434828458175e-07,12.802802802802802,2.5499810664124625e-07,12.802802802802802,2.0422456695009875e-06
12.882882882882882,0.0,12.882882882882882,3.5415097410120314e-07,12.882882882882882,7.980941893088968e-07,12.882882882882882,5.3888801370809895e-06
12.962962962962962,0.0,12.962962962962962,1.0321922916294121e-06,12.962962962962962,2.3260889576530164e-06,12.962962962962962,1.3241709061642669e-05
